label,precision,recall,f1-score,support
apple_overripe,0.32432432432432434,0.9230769230769231,0.48,13.0
apple_ripe,0.8718861209964412,0.8477508650519031,0.8596491228070176,289.0
apple_rotten,0.9934640522875817,0.8735632183908046,0.9296636085626911,348.0
apple_unripe,0.8735632183908046,0.7192429022082019,0.7889273356401384,317.0
banana_overripe,0.6582278481012658,0.9122807017543859,0.7647058823529411,57.0
banana_ripe,0.965625,0.8930635838150289,0.9279279279279279,346.0
banana_rotten,0.963855421686747,0.9815950920245399,0.9726443768996961,326.0
banana_unripe,0.9444444444444444,0.9150141643059491,0.9294964028776979,353.0
mango_overripe,0.7777777777777778,0.875,0.8235294117647058,16.0
mango_ripe,0.7115384615384616,0.74,0.7254901960784313,100.0
mango_rotten,0.46153846153846156,0.6,0.5217391304347826,30.0
mango_unripe,0.6821705426356589,0.8,0.7364016736401674,110.0
orange_overripe,0.19047619047619047,0.7272727272727273,0.3018867924528302,11.0
orange_ripe,0.888,0.8987854251012146,0.8933601609657947,247.0
orange_rotten,0.9532710280373832,0.816,0.8793103448275862,250.0
orange_unripe,0.7186147186147186,0.7980769230769231,0.7562642369020501,208.0
papaya_ripe,0.5217391304347826,0.72,0.6050420168067226,50.0
papaya_rotten,0.525,0.5121951219512195,0.5185185185185185,41.0
papaya_unripe,0.5254237288135594,0.62,0.5688073394495413,50.0
pineapple_ripe,0.48214285714285715,0.574468085106383,0.5242718446601942,47.0
pineapple_rotten,0.7435897435897436,0.6744186046511628,0.7073170731707317,43.0
pineapple_unripe,0.6415094339622641,0.6938775510204082,0.6666666666666666,49.0
tomato_overripe,0.8571428571428571,0.75,0.8,8.0
tomato_ripe,0.8571428571428571,0.9230769230769231,0.8888888888888888,26.0
tomato_unripe,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
